submission_id,purchase
jB9Vb1,"National chain (e.g. Starbucks, Dunkin)"
6dQB8o,"National chain (e.g. Starbucks, Dunkin)"
6dQB8o,Specialty coffee shop
6dQB7J,"National chain (e.g. Starbucks, Dunkin)"
6dQB7J,Local cafe
6dQB7J,Deli or supermarket
xdNWMd,Specialty coffee shop
xdNWMd,Local cafe
24x6jM,Specialty coffee shop
aBrMYb,Local cafe
XeBboP,Specialty coffee shop
bl4Je6,Other
dY2yar,Specialty coffee shop
dY2yar,"National chain (e.g. Starbucks, Dunkin)"
dY2yar,Drive-thru
PABqj0,Local cafe
PABqj0,Specialty coffee shop
g5NoqP,Local cafe
g5NoqP,Specialty coffee shop
jB9VQJ,Specialty coffee shop
KMBjVX,Drive-thru
KMBjVX,Specialty coffee shop
KMBjVX,"National chain (e.g. Starbucks, Dunkin)"
KMBjVX,Local cafe
KMBjVX,Deli or supermarket
oAVj65,Specialty coffee shop
oAVj65,"National chain (e.g. Starbucks, Dunkin)"
xdNWDd,Specialty coffee shop
EPbOxB,"National chain (e.g. Starbucks, Dunkin)"
xdNWx9,"National chain (e.g. Starbucks, Dunkin)"
xdNWx9,Drive-thru
EPbOqA,"National chain (e.g. Starbucks, Dunkin)"
EPbOqA,Specialty coffee shop
42NbXo,"National chain (e.g. Starbucks, Dunkin)"
qbElDO,"National chain (e.g. Starbucks, Dunkin)"
xdNWa5,Local cafe
8dplNk,Drive-thru
8dplNk,Specialty coffee shop
8dplNk,"National chain (e.g. Starbucks, Dunkin)"
1r2a91,"National chain (e.g. Starbucks, Dunkin)"
1r2a91,Other
42NbB5,Specialty coffee shop
42NbB5,"National chain (e.g. Starbucks, Dunkin)"
GrBP6O,Specialty coffee shop
GrBP6O,Local cafe
NABZoO,"National chain (e.g. Starbucks, Dunkin)"
NABZoO,Specialty coffee shop
42NbxA,"National chain (e.g. Starbucks, Dunkin)"
42NbxA,Drive-thru
OABN7a,"National chain (e.g. Starbucks, Dunkin)"
DVvGBE,"National chain (e.g. Starbucks, Dunkin)"
DVvGBE,Local cafe
LdMLRO,Local cafe
LdMLRO,Specialty coffee shop
dY2yNV,Other
dY2yNV,Local cafe
dY2yNV,Specialty coffee shop
dY2yYK,Local cafe
GrBPJo,"National chain (e.g. Starbucks, Dunkin)"
GrBPJo,Specialty coffee shop
eBxXL0,Local cafe
eBxXL0,Deli or supermarket
PABqX5,Specialty coffee shop
MAdxOM,Local cafe
MAdxOM,Specialty coffee shop
ZdRBP0,Specialty coffee shop
ZdRBP0,Drive-thru
ZdRBP0,"National chain (e.g. Starbucks, Dunkin)"
ZdRBP0,Local cafe
ZdRBRy,Specialty coffee shop
ZdRBRy,Local cafe
ZdRBZa,Specialty coffee shop
OABNzg,"National chain (e.g. Starbucks, Dunkin)"
OABNzg,Local cafe
OABNzg,Drive-thru
42NbpB,Other
PABq2b,Specialty coffee shop
WAp7Pj,Drive-thru
WAp7Pj,Local cafe
rlrZqL,Local cafe
24x6JL,"National chain (e.g. Starbucks, Dunkin)"
XeBbB4,Specialty coffee shop
XeBbB4,"National chain (e.g. Starbucks, Dunkin)"
XeBbB4,Drive-thru
9dJKWV,"National chain (e.g. Starbucks, Dunkin)"
lNlEyv,Deli or supermarket
g5Nok1,Drive-thru
g5Nok1,Specialty coffee shop
g5Nok1,"National chain (e.g. Starbucks, Dunkin)"
g5Nok1,Local cafe
DVvGYX,Drive-thru
DVvGYX,"National chain (e.g. Starbucks, Dunkin)"
DVvGYX,Local cafe
DVvGYX,Specialty coffee shop
xdNWLd,"National chain (e.g. Starbucks, Dunkin)"
xdNWLd,Local cafe
NABZyp,"National chain (e.g. Starbucks, Dunkin)"
VZ16y6,Drive-thru
VZ16y6,Specialty coffee shop
pLP24V,Drive-thru
g5NogM,Specialty coffee shop
g5NogM,Local cafe
VZ16MJ,Specialty coffee shop
NABZv0,"National chain (e.g. Starbucks, Dunkin)"
NABZv0,Specialty coffee shop
AlbX8D,"National chain (e.g. Starbucks, Dunkin)"
qbElBG,Drive-thru
qbElBG,"National chain (e.g. Starbucks, Dunkin)"
jB9VrQ,Drive-thru
24x6Rb,Deli or supermarket
24x6Rb,"National chain (e.g. Starbucks, Dunkin)"
ylqar8,"National chain (e.g. Starbucks, Dunkin)"
ylqar8,Specialty coffee shop
RzB92v,"National chain (e.g. Starbucks, Dunkin)"
RzB92v,Local cafe
xdNWv9,Specialty coffee shop
xdNWv9,Local cafe
xdNWv9,"National chain (e.g. Starbucks, Dunkin)"
5dqApP,"National chain (e.g. Starbucks, Dunkin)"
5dqApP,Local cafe
5dqAko,Specialty coffee shop
5dqAko,Local cafe
5dqAko,Deli or supermarket
dY2yKz,Local cafe
dY2yKz,Specialty coffee shop
dY2yKz,"National chain (e.g. Starbucks, Dunkin)"
MAdxdX,"National chain (e.g. Starbucks, Dunkin)"
MAdxdX,Specialty coffee shop
OABNdK,Deli or supermarket
OABNdK,"National chain (e.g. Starbucks, Dunkin)"
OABNdK,Local cafe
OABNdK,Specialty coffee shop
YZzAAJ,"National chain (e.g. Starbucks, Dunkin)"
YZzAAJ,Local cafe
xdNW7d,"National chain (e.g. Starbucks, Dunkin)"
xdNW7d,Specialty coffee shop
xdNW7d,Local cafe
VZ16Wy,"National chain (e.g. Starbucks, Dunkin)"
VZ16Wy,Local cafe
VZ16Wy,Specialty coffee shop
VZ16Wy,Drive-thru
24x6QL,Drive-thru
24x6QL,"National chain (e.g. Starbucks, Dunkin)"
24x6QL,Local cafe
QABQ6p,Specialty coffee shop
XeBbbY,Specialty coffee shop
XeBbbY,Local cafe
XeBbbY,"National chain (e.g. Starbucks, Dunkin)"
XeBbbY,Drive-thru
KMBjKV,Local cafe
KMBjKV,Specialty coffee shop
qbElrG,"National chain (e.g. Starbucks, Dunkin)"
qbElrG,Drive-thru
1r2ajQ,Specialty coffee shop
5dq7bP,Local cafe
5dq7bP,"National chain (e.g. Starbucks, Dunkin)"
DVv8kp,Specialty coffee shop
BGbRPN,"National chain (e.g. Starbucks, Dunkin)"
BGbRPN,Local cafe
BGbRPN,Specialty coffee shop
BGbRPN,Deli or supermarket
EPbRzo,Specialty coffee shop
EPbRzo,Local cafe
EPbRzo,"National chain (e.g. Starbucks, Dunkin)"
eBxXOl,"National chain (e.g. Starbucks, Dunkin)"
eBxXOl,Local cafe
YZzA85,Specialty coffee shop
rlrZzv,Specialty coffee shop
ylqQJ6,"National chain (e.g. Starbucks, Dunkin)"
ylqQJ6,Specialty coffee shop
ylqQJ6,Local cafe
0Ej9d0,"National chain (e.g. Starbucks, Dunkin)"
9dJkdE,Specialty coffee shop
8dpBdl,Local cafe
PABqMQ,Specialty coffee shop
PABqMQ,Drive-thru
PABqMQ,Deli or supermarket
g5Nl5P,Specialty coffee shop
g5Nl5P,Local cafe
OAB2b7,Specialty coffee shop
ZdR7Dy,Local cafe
ZdR7Dy,Specialty coffee shop
ZdR7Dy,Deli or supermarket
LdMr0l,"National chain (e.g. Starbucks, Dunkin)"
LdMr0l,Local cafe
LdMr0l,Specialty coffee shop
LdMr0l,Deli or supermarket
42N6jr,"National chain (e.g. Starbucks, Dunkin)"
42N6jr,Deli or supermarket
LdMrWJ,Local cafe
LdMrWJ,"National chain (e.g. Starbucks, Dunkin)"
LdMrWJ,Specialty coffee shop
KMBEyk,Local cafe
KMBEyk,"National chain (e.g. Starbucks, Dunkin)"
VZ162J,Deli or supermarket
VZ162J,Local cafe
GrBGy2,Local cafe
5dq7GE,Specialty coffee shop
5dq7GE,Local cafe
AlbgaB,Specialty coffee shop
AlbgaB,Other
AlbgaB,Local cafe
WApW6L,Local cafe
YZz62W,"National chain (e.g. Starbucks, Dunkin)"
YZz62W,Local cafe
WApWWe,Drive-thru
aBrROv,"National chain (e.g. Starbucks, Dunkin)"
jB9RO4,Local cafe
jB9RO4,Specialty coffee shop
EPbRj4,"National chain (e.g. Starbucks, Dunkin)"
EPbRj4,Drive-thru
BGbyPK,Specialty coffee shop
AlbEzk,Local cafe
AlbEzk,Specialty coffee shop
rlrejl,Specialty coffee shop
rlrejl,"National chain (e.g. Starbucks, Dunkin)"
BGbrD1,Drive-thru
oAVqB5,Specialty coffee shop
oAVqB5,"National chain (e.g. Starbucks, Dunkin)"
ylqB9p,"National chain (e.g. Starbucks, Dunkin)"
ylqB9p,Specialty coffee shop
rlredX,Specialty coffee shop
rlredX,Local cafe
rlredX,"National chain (e.g. Starbucks, Dunkin)"
EPb2do,Drive-thru
24xW0D,"National chain (e.g. Starbucks, Dunkin)"
pLPQ48,Local cafe
