submission_id,brew,brew_other
LdM4ov,Other,Aeropress
GrBO5k,Pour over,Syphone
GrBO5k,Other,Syphone
ZdRbWo,Coffee brewing machine (e.g. Mr. Coffee),NULL
AlbMQD,Pour over,NULL
AlbMQD,Cold brew,NULL
42NlqX,Espresso,NULL
24x9D9,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV81V,Pour over,NULL
QABNE7,Coffee extract (e.g. Cometeer),NULL
6dQ6QN,Other,Aeropress
KMBrkV,Espresso,NULL
g5N8NJ,Pour over,NULL
g5N8NJ,Espresso,NULL
g5N8NJ,Coffee brewing machine (e.g. Mr. Coffee),NULL
g5N8NJ,Cold brew,NULL
aBrpab,NULL,NULL
OABxVR,Espresso,NULL
OABxVR,Pour over,NULL
aBrpPq,Espresso,NULL
bl41vZ,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV8kO,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
qbE8NG,Espresso,NULL
qbE8NG,Pour over,NULL
eBxgoe,Pour over,NULL
eBxgoe,Cold brew,NULL
aBrpkB,Other,Cometeer!
vNx8g0,Espresso,NULL
NAB2Ol,Coffee brewing machine (e.g. Mr. Coffee),NULL
GrBObk,Pour over,NULL
kYR8x1,Espresso,NULL
g5N8z4,Pour over,NULL
g5N8z4,Cold brew,NULL
lNl8zv,Pour over,NULL
lNl8zv,Espresso,NULL
lNl8zv,Cold brew,NULL
jB98z4,French press,NULL
RzBqVj,Pour over,NULL
RzBqVj,Espresso,NULL
BGbJ6Q,Pour over,NULL
5dqagd,Coffee extract (e.g. Cometeer),NULL
5dqagd,Espresso,NULL
QABN8Y,Pour over,NULL
QABN8Y,French press,NULL
QABN8Y,Coffee brewing machine (e.g. Mr. Coffee),NULL
24x9o9,Espresso,NULL
BGbJ9Q,Coffee brewing machine (e.g. Mr. Coffee),NULL
PABZrV,Pour over,NULL
lNl84k,Pour over,NULL
rlr8YR,Pour over,Aeropress
rlr8YR,Espresso,Aeropress
rlr8YR,Other,Aeropress
rlr8YR,Pour over,clever
rlr8YR,Espresso,clever
rlr8YR,Other,clever
zKQ8L0,Pour over,NULL
zKQ8L0,Espresso,NULL
NAB2El,Pour over,NULL
NAB2El,Espresso,NULL
NAB2El,Cold brew,NULL
9dJAMV,Pour over,NULL
9dJAMV,Espresso,NULL
YZz79J,Pour over,NULL
YZz79J,Cold brew,NULL
5dqaod,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
GrBOgp,Coffee extract (e.g. Cometeer),NULL
GrBOgp,Cold brew,NULL
dY2Jgo,Pour over,NULL
dY2Jgo,Coffee brewing machine (e.g. Mr. Coffee),NULL
AlbMAe,Pour over,NULL
XeB6d4,Pour over,NULL
XeB6d4,Espresso,NULL
QABNX8,Espresso,NULL
1r2QBp,Pour over,Aeropress
1r2QBp,Espresso,Aeropress
1r2QBp,Other,Aeropress
VZ1WY6,Pour over,NULL
VZ1WY6,French press,NULL
VZ1WY6,Instant coffee,NULL
VZ1WY6,Cold brew,NULL
LdM4Vv,Coffee brewing machine (e.g. Mr. Coffee),NULL
6dQ6MJ,Pour over,NULL
6dQ6MJ,Coffee extract (e.g. Cometeer),NULL
oAV8vx,Pour over,Steep-and-release (Clever dripper)
oAV8vx,Other,Steep-and-release (Clever dripper)
oAV8vx,French press,Steep-and-release (Clever dripper)
oAV8vx,Pour over,Moka Pot (which is not espresso!!)
oAV8vx,Other,Moka Pot (which is not espresso!!)
oAV8vx,French press,Moka Pot (which is not espresso!!)
oAV8gP,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
EPboJ2,Pour over,NULL
EPboJ2,Espresso,NULL
MAdjVA,Other,Aeropress
EPboEX,Pour over,Aeropress
EPboEX,Other,Aeropress
6dQ64k,Pour over,NULL
6dQ64k,French press,NULL
NAB240,Pour over,NULL
pLPYzB,Pour over,NULL
pLPYzB,French press,NULL
pLPYzB,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
pLPYzB,Cold brew,NULL
OABxEg,Pour over,NULL
NAB2gB,Pour over,NULL
vNx8vQ,Pour over,NULL
LdM4yj,Espresso,NULL
LdM4yj,French press,NULL
LdM4yj,Coffee brewing machine (e.g. Mr. Coffee),NULL
LdM4yj,Pour over,NULL
qbE8k9,Pour over,NULL
qbE8v9,Espresso,NULL
dY2J8d,Espresso,NULL
jB98Yx,NULL,NULL
rlr8gN,Coffee brewing machine (e.g. Mr. Coffee),NULL
XeB6Ng,Espresso,NULL
XeB6Ng,French press,NULL
OABx97,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
