submission_id,additions,additions_other
PABQdQ,Milk,NULL
PABQdQ,dairy alternative,NULL
PABQdQ,or coffee creamer,NULL
1r20NQ,No - just black,NULL
qbEqj2,Milk,NULL
qbEqj2,dairy alternative,NULL
qbEqj2,or coffee creamer,NULL
g5NV9P,No - just black,NULL
g5NV9P,Milk,NULL
g5NV9P,dairy alternative,NULL
g5NV9P,or coffee creamer,NULL
42NY8Y,No - just black,NULL
GrBVJp,No - just black,NULL
GrBVJp,Milk,NULL
GrBVJp,dairy alternative,NULL
GrBVJp,or coffee creamer,NULL
7d90RL,No - just black,NULL
lNl8WV,Milk,NULL
lNl8WV,dairy alternative,NULL
lNl8WV,or coffee creamer,NULL
lNl8WV,Sugar or sweetener,NULL
vNxaEA,Milk,NULL
vNxaEA,dairy alternative,NULL
vNxaEA,or coffee creamer,NULL
0EjY5P,No - just black,NULL
eBxO5q,Milk,NULL
eBxO5q,dairy alternative,NULL
eBxO5q,or coffee creamer,NULL
eBxO5q,Sugar or sweetener,NULL
blx47Z,No - just black,NULL
blx47Z,Milk,NULL
blx47Z,dairy alternative,NULL
blx47Z,or coffee creamer,NULL
blx47Z,Sugar or sweetener,NULL
lNlXyB,Milk,NULL
lNlXyB,dairy alternative,NULL
lNlXyB,or coffee creamer,NULL
lNlXyB,Sugar or sweetener,NULL
1r2Yx4,No - just black,NULL
1r20WM,No - just black,NULL
1r20WM,Milk,NULL
1r20WM,dairy alternative,NULL
1r20WM,or coffee creamer,NULL
J2krad,No - just black,NULL
DVvo05,Milk,NULL
DVvo05,dairy alternative,NULL
DVvo05,or coffee creamer,NULL
VZ1aJj,No - just black,NULL
42N0ab,No - just black,NULL
aBrJxZ,Milk,NULL
aBrJxZ,dairy alternative,NULL
aBrJxZ,or coffee creamer,NULL
aBrJxZ,Sugar or sweetener,NULL
9dJ0qG,No - just black,NULL
PABN1x,No - just black,NULL
8dpDDk,No - just black,NULL
qA2y0O,Milk,NULL
qA2y0O,dairy alternative,NULL
qA2y0O,or coffee creamer,NULL
V0ELg6,Milk,NULL
V0ELg6,dairy alternative,NULL
V0ELg6,or coffee creamer,NULL
V0ELg6,Sugar or sweetener,NULL
zKQ8Qg,No - just black,NULL
VZ1WYN,Milk,NULL
VZ1WYN,dairy alternative,NULL
VZ1WYN,or coffee creamer,NULL
VZ1WYN,No - just black,NULL
jB98W1,Milk,NULL
jB98W1,dairy alternative,NULL
jB98W1,or coffee creamer,NULL
24x9Rj,NULL,NULL
rlr82o,No - just black,NULL
QABNj7,NULL,NULL
vNx8El,No - just black,NULL
jB98WY,No - just black,NULL
LdM4Op,No - just black,NULL
qbE8gG,No - just black,NULL
bl41zZ,No - just black,NULL
xdN8yk,No - just black,NULL
rlr8LX,Flavor syrup,NULL
rlr8LX,Sugar or sweetener,NULL
rlr8LX,Milk,NULL
rlr8LX,dairy alternative,NULL
rlr8LX,or coffee creamer,NULL
jB98ga,Milk,NULL
jB98ga,dairy alternative,NULL
jB98ga,or coffee creamer,NULL
jB98ga,Sugar or sweetener,NULL
pLPY01,Milk,NULL
pLPY01,dairy alternative,NULL
pLPY01,or coffee creamer,NULL
pLPY01,Sugar or sweetener,NULL
GrBODO,No - just black,NULL
7d97a0,No - just black,NULL
WApale,No - just black,NULL
0EjqlN,Milk,NULL
0EjqlN,dairy alternative,NULL
0EjqlN,or coffee creamer,NULL
0EjqlN,Sugar or sweetener,NULL
oAV8dN,No - just black,NULL
0Ejqaj,No - just black,NULL
5dqaeZ,No - just black,NULL
g5N8v4,No - just black,NULL
oAV8lb,No - just black,NULL
AlbMyz,No - just black,NULL
jB9871,Milk,NULL
jB9871,dairy alternative,NULL
jB9871,or coffee creamer,NULL
9dJA2E,No - just black,NULL
PABZBx,No - just black,NULL
DVvRWR,No - just black,NULL
dY2JDV,No - just black,NULL
bl41Y1,Milk,NULL
bl41Y1,dairy alternative,NULL
bl41Y1,or coffee creamer,NULL
rlr8vR,No - just black,NULL
xdN89d,No - just black,NULL
xdN89d,Milk,NULL
xdN89d,dairy alternative,NULL
xdN89d,or coffee creamer,NULL
kYR8Jo,No - just black,NULL
YZz7xW,No - just black,NULL
RzBq29,No - just black,NULL
24x9DD,No - just black,NULL
rlr8k2,No - just black,NULL
7d97ER,No - just black,NULL
GrBOBO,No - just black,NULL
42NlPr,No - just black,NULL
XeB6OP,Milk,NULL
XeB6OP,dairy alternative,NULL
XeB6OP,or coffee creamer,NULL
XeB6OP,Flavor syrup,NULL
VZ1W4y,No - just black,NULL
kYR8ve,No - just black,NULL
YZz7oN,No - just black,NULL
OABxYM,No - just black,NULL
OABxYM,Milk,NULL
OABxYM,dairy alternative,NULL
OABxYM,or coffee creamer,NULL
xdN8lv,No - just black,NULL
eBxgYk,Milk,NULL
eBxgYk,dairy alternative,NULL
eBxgYk,or coffee creamer,NULL
RzBqj9,Milk,NULL
RzBqj9,dairy alternative,NULL
RzBqj9,or coffee creamer,NULL
RzBqj9,No - just black,NULL
RzBqj9,Flavor syrup,NULL
1r2QGg,No - just black,NULL
pLPYZJ,No - just black,NULL
MAdj6k,No - just black,NULL
OABxER,No - just black,NULL
BGbJ0K,No - just black,NULL
qbE8jO,No - just black,NULL
kYR8ze,Milk,NULL
kYR8ze,dairy alternative,NULL
kYR8ze,or coffee creamer,NULL
GrBODQ,No - just black,NULL
vNx8KD,No - just black,NULL
oAV8VN,No - just black,NULL
VZ1Wxg,No - just black,NULL
24x9Oe,No - just black,NULL
KMBrO8,Milk,NULL
KMBrO8,dairy alternative,NULL
KMBrO8,or coffee creamer,NULL
KMBrO8,No - just black,NULL
WApa1v,No - just black,NULL
bl41gL,No - just black,NULL
EPbovB,Milk,NULL
EPbovB,dairy alternative,NULL
EPbovB,or coffee creamer,NULL
EPbovB,Sugar or sweetener,NULL
ylq8e8,Milk,NULL
ylq8e8,dairy alternative,NULL
ylq8e8,or coffee creamer,NULL
24x9ZL,No - just black,NULL
MAdjGM,No - just black,NULL
24x9Zj,No - just black,NULL
rlr8kR,Milk,NULL
rlr8kR,dairy alternative,NULL
rlr8kR,or coffee creamer,NULL
g5N8pl,No - just black,NULL
rlr8qN,No - just black,NULL
ylq87g,No - just black,NULL
GrBO7Z,No - just black,NULL
GrBO7Z,Milk,NULL
GrBO7Z,dairy alternative,NULL
GrBO7Z,or coffee creamer,NULL
NAB2Rj,Milk,NULL
NAB2Rj,dairy alternative,NULL
NAB2Rj,or coffee creamer,NULL
NAB2Rj,No - just black,NULL
RzBqkj,No - just black,NULL
xdN86r,No - just black,NULL
9dJArQ,Milk,NULL
9dJArQ,dairy alternative,NULL
9dJArQ,or coffee creamer,NULL
EPboa4,No - just black,NULL
WApaQN,Milk,NULL
WApaQN,dairy alternative,NULL
WApaQN,or coffee creamer,NULL
42NlN5,No - just black,NULL
AlbM50,No - just black,NULL
AlbM50,Milk,NULL
AlbM50,dairy alternative,NULL
AlbM50,or coffee creamer,NULL
QABNap,Milk,NULL
QABNap,dairy alternative,NULL
QABNap,or coffee creamer,NULL
QABNap,No - just black,NULL
dY2Jkd,Milk,NULL
dY2Jkd,dairy alternative,NULL
dY2Jkd,or coffee creamer,NULL
dY2Jkd,Sugar or sweetener,NULL
RzBqr9,No - just black,NULL
lNl89W,Milk,NULL
lNl89W,dairy alternative,NULL
lNl89W,or coffee creamer,NULL
lNl89W,Sugar or sweetener,NULL
PABZGB,Milk,NULL
PABZGB,dairy alternative,NULL
PABZGB,or coffee creamer,NULL
RzBqjj,Milk,NULL
RzBqjj,dairy alternative,NULL
RzBqjj,or coffee creamer,NULL
RzBqjj,Sugar or sweetener,NULL
LdM4ov,No - just black,NULL
GrBO5k,No - just black,NULL
ZdRbWo,No - just black,NULL
ZdRbWo,Milk,NULL
ZdRbWo,dairy alternative,NULL
ZdRbWo,or coffee creamer,NULL
AlbMQD,Milk,NULL
AlbMQD,dairy alternative,NULL
AlbMQD,or coffee creamer,NULL
42NlqX,No - just black,NULL
24x9D9,No - just black,NULL
oAV81V,No - just black,NULL
QABNE7,No - just black,NULL
6dQ6QN,No - just black,NULL
KMBrkV,Milk,NULL
KMBrkV,dairy alternative,NULL
KMBrkV,or coffee creamer,NULL
KMBrkV,Sugar or sweetener,NULL
KMBrkV,No - just black,NULL
g5N8NJ,No - just black,NULL
aBrpab,Sugar or sweetener,NULL
aBrpab,Milk,NULL
aBrpab,dairy alternative,NULL
aBrpab,or coffee creamer,NULL
aBrpab,Flavor syrup,NULL
OABxVR,No - just black,NULL
OABxVR,Milk,NULL
OABxVR,dairy alternative,NULL
OABxVR,or coffee creamer,NULL
aBrpPq,No - just black,NULL
bl41vZ,Sugar or sweetener,NULL
oAV8kO,Milk,NULL
oAV8kO,dairy alternative,NULL
oAV8kO,or coffee creamer,NULL
qbE8NG,Milk,NULL
qbE8NG,dairy alternative,NULL
qbE8NG,or coffee creamer,NULL
qbE8NG,No - just black,NULL
eBxgoe,No - just black,NULL
aBrpkB,Milk,NULL
