submission_id,purchase,purchase_other
vNx5P0,NULL,NULL
6dQEZk,NULL,NULL
qbE1d7,NULL,NULL
bl4QeL,NULL,NULL
PABJ55,NULL,NULL
aBrq9b,NULL,NULL
LdMLPv,Drive-thru,NULL
LdMLPv,Local cafe,NULL
LdMLPv,"National chain (e.g. Starbucks, Dunkin)",NULL
LdMLPv,Specialty coffee shop,NULL
qbE1VY,NULL,NULL
oAVLEx,NULL,NULL
PABJ1V,NULL,NULL
0EjR6N,NULL,NULL
BGbW75,NULL,NULL
8dp4L5,NULL,NULL
GrBARZ,NULL,NULL
rlrMBR,NULL,NULL
J2kEvY,NULL,NULL
GrBAve,NULL,NULL
g5N6qO,Drive-thru,NULL
g5N6qO,"National chain (e.g. Starbucks, Dunkin)",NULL
J2kvOo,NULL,NULL
GrBAlp,NULL,NULL
7d9r2P,NULL,NULL
1r2odl,NULL,NULL
J2kvdR,NULL,NULL
jB9APx,NULL,NULL
DVv6kZ,Specialty coffee shop,NULL
xdN8Ok,Local cafe,NULL
xdN8Ok,"National chain (e.g. Starbucks, Dunkin)",NULL
NAB1qO,NULL,NULL
GrBA9Z,NULL,NULL
bl4Qdg,NULL,NULL
5dqPZo,NULL,NULL
J2kEyz,Specialty coffee shop,NULL
jB98j9,NULL,NULL
DVv67R,Specialty coffee shop,NULL
QABlV8,NULL,NULL
LdMLpj,NULL,NULL
42NVrX,NULL,NULL
VZ1OpM,NULL,NULL
42NlWr,"National chain (e.g. Starbucks, Dunkin)",NULL
42NlWr,Specialty coffee shop,NULL
42NlWr,Local cafe,NULL
KMBKV8,NULL,NULL
aBrq6q,NULL,NULL
oAVLeP,NULL,NULL
YZzlPW,NULL,NULL
zKQ5jM,NULL,NULL
XeBPJY,NULL,NULL
kYRB61,NULL,NULL
zKQ5y0,NULL,NULL
RzBy5d,NULL,NULL
ZdRrNy,NULL,NULL
6dQE7B,Specialty coffee shop,NULL
0EjRey,Specialty coffee shop,NULL
QABlDp,NULL,NULL
24xGB9,NULL,NULL
EPb7QX,NULL,NULL
qbE1AY,NULL,NULL
RzByD9,NULL,NULL
42NVQY,NULL,NULL
EPb7XX,NULL,NULL
Albe2z,NULL,NULL
PABJ9V,NULL,NULL
rlrM5R,Specialty coffee shop,NULL
rlrM5R,"National chain (e.g. Starbucks, Dunkin)",NULL
kYR8Pj,NULL,NULL
J2kvqK,NULL,NULL
J2kv1K,NULL,NULL
PABJpB,NULL,NULL
EPb7l4,NULL,NULL
XeBP0j,"National chain (e.g. Starbucks, Dunkin)",NULL
XeBP0j,Specialty coffee shop,NULL
XeBP0j,Local cafe,NULL
vNx5Yv,NULL,NULL
NAB1WB,NULL,NULL
42NV8k,NULL,NULL
VZ1OQg,NULL,NULL
LdMLWj,NULL,NULL
LdMLKv,NULL,NULL
zKQ5Ya,NULL,NULL
pLPpoJ,NULL,NULL
lNlkqv,NULL,NULL
GrBO2O,NULL,NULL
KMBK1A,NULL,NULL
dY2e9o,NULL,NULL
9dJjQp,Specialty coffee shop,NULL
9dJjQp,"National chain (e.g. Starbucks, Dunkin)",NULL
9dJjQp,Local cafe,NULL
QABl58,NULL,NULL
BGbWk5,NULL,NULL
24xGPj,NULL,NULL
0EjRdB,Local cafe,NULL
RzByPd,NULL,NULL
RzBq9P,NULL,NULL
PABJ65,NULL,NULL
oAVLRP,NULL,NULL
24xGPL,NULL,NULL
rlr84L,NULL,NULL
VZ1O0v,NULL,NULL
8dp4xO,NULL,NULL
bl4QWL,NULL,NULL
qbE1a9,NULL,NULL
VZ1O5J,Specialty coffee shop,NULL
rlrMPl,NULL,NULL
EPb7XN,NULL,NULL
dY2e0o,NULL,NULL
lNlkyB,Local cafe,NULL
lNlkyB,"National chain (e.g. Starbucks, Dunkin)",NULL
BGbJo7,NULL,NULL
xdN5ay,Local cafe,Trade
xdN5ay,Drive-thru,Trade
xdN5ay,Specialty coffee shop,Trade
xdN5ay,Other,Trade
xdN5ay,"National chain (e.g. Starbucks, Dunkin)",Trade
GrBAdp,NULL,NULL
BGbWxQ,NULL,NULL
MAdpzp,Specialty coffee shop,NULL
MAdpzp,"National chain (e.g. Starbucks, Dunkin)",NULL
RzBy0J,NULL,NULL
PABJ1e,NULL,NULL
XeBPWj,NULL,NULL
g5N6Gl,NULL,NULL
jB9AZJ,Local cafe,NULL
jB9AZJ,"National chain (e.g. Starbucks, Dunkin)",NULL
g5N6e4,NULL,NULL
0Ejq9Q,NULL,NULL
xdN8EG,NULL,NULL
zKQ5Da,"National chain (e.g. Starbucks, Dunkin)",NULL
zKQ5Da,Local cafe,NULL
xdN5Xv,NULL,NULL
24xGAj,NULL,NULL
lNl8j5,NULL,NULL
YZz7Nv,NULL,NULL
VZ1OEj,Local cafe,NULL
VZ1OEj,Specialty coffee shop,NULL
VZ1OEj,"National chain (e.g. Starbucks, Dunkin)",NULL
VZ1OEj,Drive-thru,NULL
oAVLAV,NULL,NULL
vNx52A,NULL,NULL
bl4Qlo,NULL,NULL
PABJ0Q,NULL,NULL
42NVkO,NULL,NULL
9dJjdY,NULL,NULL
WApV0J,NULL,NULL
1r2oEM,NULL,NULL
jB9AME,NULL,NULL
GrBAro,NULL,NULL
KMBK67,NULL,NULL
xdN5QG,NULL,NULL
XeBPe4,NULL,NULL
8dp4kx,NULL,NULL
EPb71N,NULL,NULL
qbE1Wd,NULL,NULL
eBxWBO,NULL,NULL
6dQExe,NULL,NULL
24xGrp,NULL,NULL
0EjRbQ,"National chain (e.g. Starbucks, Dunkin)",NULL
5dqP2M,NULL,NULL
QABlrg,NULL,NULL
xdN5Qo,NULL,NULL
MAdpJg,NULL,NULL
vNx5AQ,NULL,NULL
