submission_id,additions
WApa4L,"Milk, dairy alternative, or coffee creamer"
lNl8pV,No - just black
9dJAbX,No - just black
zKQ8A1,"Milk, dairy alternative, or coffee creamer"
QABNP1,No - just black
pLPYEE,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
GrBOMQ,"Milk, dairy alternative, or coffee creamer"
RzBqpQ,No - just black
24x9MM,Sugar or sweetener
7d9rX0,No - just black
YZz72z,"No - just black, Milk, dairy alternative, or coffee creamer"
42Nl0b,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
lNl8JX,"No - just black, Milk, dairy alternative, or coffee creamer"
xdN8kd,"Milk, dairy alternative, or coffee creamer"
VZ1WWE,No - just black
bl4QV6,"Milk, dairy alternative, or coffee creamer"
LdM4xG,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
VZ1OLj,No - just black
KMBrrk,No - just black
5dqaWQ,"Milk, dairy alternative, or coffee creamer"
NAB22W,"Milk, dairy alternative, or coffee creamer, No - just black"
eBxWZx,"No - just black, Milk, dairy alternative, or coffee creamer"
OABxOM,No - just black
lNl825,"No - just black, Milk, dairy alternative, or coffee creamer"
EPboy2,No - just black
LdM48z,No - just black
KMBKYX,No - just black
NAB21W,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
42NlMo,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
BGbJv4,No - just black
rlr8No,No - just black
24xGEe,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
lNlkBN,No - just black
eBxWae,No - just black
WApavR,No - just black
1r2o9p,No - just black
OABM7R,No - just black
aBrqOX,"No - just black, Milk, dairy alternative, or coffee creamer"
qbE1GG,No - just black
8dp4aP,No - just black
0EjR7j,No - just black
YZz7EN,No - just black
OABxRk,"No - just black, Milk, dairy alternative, or coffee creamer"
AlbMgN,No - just black
lNlk6k,No - just black
OABxWM,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
xdN5Yy,No - just black
AlbMYB,"No - just black, Milk, dairy alternative, or coffee creamer"
ylq5Jg,No - just black
VZ1WRj,No - just black
jB9Ala,"No - just black, Milk, dairy alternative, or coffee creamer"
YZzl4B,No - just black
J2kvz4,No - just black
oAV8W5,No - just black
oAVLGe,No - just black
KMBKlA,No - just black
6dQEDY,"Milk, dairy alternative, or coffee creamer"
1r2o7Q,No - just black
1r2oVQ,No - just black
0EjR8y,No - just black
LdMLzp,No - just black
LdML7p,"Milk, dairy alternative, or coffee creamer"
jB9Ab4,"Milk, dairy alternative, or coffee creamer"
aBrq4B,No - just black
DVv6Nq,No - just black
DVv6pR,No - just black
rlrMON,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
g5N6Ml,"Milk, dairy alternative, or coffee creamer"
NAB1oB,No - just black
VZ1Ojy,No - just black
dY2exq,No - just black
RzByo9,"Milk, dairy alternative, or coffee creamer, No - just black"
rlrMoN,"Milk, dairy alternative, or coffee creamer"
XeBP4g,"Milk, dairy alternative, or coffee creamer"
DVv6qN,No - just black
vNx5P0,No - just black
6dQEZk,"No - just black, Milk, dairy alternative, or coffee creamer"
qbE1d7,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
bl4QeL,No - just black
PABJ55,No - just black
aBrq9b,Other
LdMLPv,No - just black
qbE1VY,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
oAVLEx,No - just black
PABJ1V,No - just black
0EjR6N,"Flavor syrup, Milk, dairy alternative, or coffee creamer"
BGbW75,"No - just black, Milk, dairy alternative, or coffee creamer"
8dp4L5,No - just black
GrBARZ,No - just black
rlrMBR,No - just black
J2kEvY,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer, Flavor syrup"
GrBAve,No - just black
g5N6qO,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
J2kvOo,"Milk, dairy alternative, or coffee creamer"
GrBAlp,No - just black
7d9r2P,"Milk, dairy alternative, or coffee creamer"
1r2odl,"No - just black, Milk, dairy alternative, or coffee creamer"
J2kvdR,No - just black
jB9APx,No - just black
DVv6kZ,Flavor syrup
xdN8Ok,No - just black
NAB1qO,"Milk, dairy alternative, or coffee creamer"
GrBA9Z,"No - just black, Milk, dairy alternative, or coffee creamer"
bl4Qdg,No - just black
5dqPZo,No - just black
J2kEyz,"Milk, dairy alternative, or coffee creamer"
jB98j9,No - just black
DVv67R,"Milk, dairy alternative, or coffee creamer, No - just black"
QABlV8,No - just black
LdMLpj,No - just black
42NVrX,No - just black
VZ1OpM,No - just black
42NlWr,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
KMBKV8,No - just black
aBrq6q,"Milk, dairy alternative, or coffee creamer"
oAVLeP,No - just black
YZzlPW,"Milk, dairy alternative, or coffee creamer"
zKQ5jM,"Milk, dairy alternative, or coffee creamer"
XeBPJY,Sugar or sweetener
kYRB61,"No - just black, Milk, dairy alternative, or coffee creamer"
zKQ5y0,"Milk, dairy alternative, or coffee creamer, No - just black"
RzBy5d,No - just black
ZdRrNy,"No - just black, Milk, dairy alternative, or coffee creamer"
6dQE7B,No - just black
0EjRey,"Milk, dairy alternative, or coffee creamer"
QABlDp,"Milk, dairy alternative, or coffee creamer"
24xGB9,"Milk, dairy alternative, or coffee creamer"
EPb7QX,No - just black
qbE1AY,No - just black
RzByD9,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
42NVQY,"Milk, dairy alternative, or coffee creamer, No - just black"
EPb7XX,No - just black
Albe2z,No - just black
PABJ9V,No - just black
rlrM5R,No - just black
kYR8Pj,No - just black
J2kvqK,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
J2kv1K,No - just black
PABJpB,"Milk, dairy alternative, or coffee creamer"
EPb7l4,"Milk, dairy alternative, or coffee creamer"
XeBP0j,"Milk, dairy alternative, or coffee creamer"
vNx5Yv,No - just black
NAB1WB,No - just black
42NV8k,"Milk, dairy alternative, or coffee creamer, No - just black"
VZ1OQg,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
LdMLWj,"Milk, dairy alternative, or coffee creamer"
LdMLKv,No - just black
zKQ5Ya,"Milk, dairy alternative, or coffee creamer"
