submission_id,brew
OABx97,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over"
42NlEX,"Pour over, French press"
LdM4al,
ZdRbDB,"Espresso, Pour over"
6dQ6Vk,"Pour over, Other"
8dpbVx,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
6dQ65P,Coffee brewing machine (e.g. Mr. Coffee)
1r2Q6l,Pour over
7d97MR,Coffee brewing machine (e.g. Mr. Coffee)
ylq8GB,"Espresso, French press"
kYR8p1,Espresso
8dpbgx,"Pour over, Espresso"
VZ1Wqg,Pour over
WApaBa,"Pour over, Coffee extract (e.g. Cometeer)"
dY2J1q,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)"
vNx8W0,Pour over
5dqaOo,
QABNWp,Espresso
ZdRbQo,"French press, Other"
NAB2yB,
oAV81e,"Espresso, Pour over, Cold brew"
PABZYx,"Pour over, Cold brew, Coffee extract (e.g. Cometeer)"
PABZWb,Pod/capsule machine (e.g. Keurig/Nespresso)
XeB6v4,"Instant coffee, Coffee brewing machine (e.g. Mr. Coffee), Pour over, Cold brew"
9dJAxQ,Other
DVvRE5,"Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew, Pour over"
lNl87X,"French press, Pod/capsule machine (e.g. Keurig/Nespresso), Pour over"
eBxgye,Coffee brewing machine (e.g. Mr. Coffee)
aBrpgq,Bean-to-cup machine
OABxrR,Pour over
WApajv,"Espresso, Pour over"
1r2QxQ,"Pour over, French press, Other"
AlbM9z,"Espresso, Pour over"
8dpbWO,"Pour over, Espresso"
7d97zA,Pour over
24x9zV,Espresso
VZ1W9j,Pour over
rlr8YN,"Pour over, French press"
xdN80d,"Pour over, French press, Espresso, Cold brew"
1r2QgW,Espresso
EPbo64,"Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Bean-to-cup machine"
qbE877,"Pour over, French press, Espresso, Other"
KMBrGV,"Espresso, Coffee extract (e.g. Cometeer)"
6dQ6WY,Pour over
EPboA4,Espresso
PABZy5,Other
ZdRbgz,
EPbo6r,Bean-to-cup machine
6dQ6zB,Espresso
LdM4Ey,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
ylq8gg,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Bean-to-cup machine"
42NlOY,"Pour over, French press, Espresso"
MAdjPM,"Pour over, Espresso"
8dpb5O,"Other, Espresso"
1r2QRl,"Pour over, Espresso, Cold brew"
jB985Q,Espresso
J2kEBo,Instant coffee
eBxgvk,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
7d97jZ,
dY2JzK,Pour over
PABZe5,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
J2kEGo,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, French press, Other"
ylq8zx,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Cold brew"
WApapR,
xdN8z5,Pour over
NAB2dj,"Pour over, French press, Espresso"
ylq81x,Pour over
vNx8zD,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Coffee extract (e.g. Cometeer), Cold brew, Other"
oAV8zP,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)"
QABNkG,"Pour over, Cold brew"
8dpbDA,
YZz760,"Coffee brewing machine (e.g. Mr. Coffee), Espresso"
PABZqd,
oAV8LX,
XeB6Pd,Pod/capsule machine (e.g. Keurig/Nespresso)
AlbMRB,"Pour over, Espresso"
jB98XR,Espresso
NAB2Zb,
aBrpMy,"Pour over, Espresso"
OABxKK,
pLPYlP,Other
EPbooq,
XeB6je,Coffee extract (e.g. Cometeer)
PABZq0,Coffee extract (e.g. Cometeer)
GrBOE2,Espresso
pLPYYZ,Pour over
GrBOVj,"Pour over, Espresso"
DVvROb,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
rlr8Z5,"Pour over, Coffee extract (e.g. Cometeer)"
KMBr2M,Other
kYR8BJ,Coffee extract (e.g. Cometeer)
aBrpJ9,Espresso
bl41a0,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
RzBqyp,"Espresso, Pour over, Cold brew"
1r2Q0M,"Pour over, French press, Other"
GrBOO2,Pour over
jB98V6,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
QABNpg,"French press, Pour over"
DVvR6j,"Espresso, Pour over, Coffee extract (e.g. Cometeer)"
xdN8q9,Pour over
xdN8W9,Pour over
9dJAzX,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
rlr8ep,"Espresso, Pour over"
